utilization_pct,global_constructor_enabled,seed,feasible_at_gen_0,generations_to_first_feasible,final_feasible,initial_fitness,first_feasible_fitness,best_fitness,final_fitness,seed_population_size,seed_feasible_count,construction_ms,optimization_ms,total_wall_ms,construction_overhead_pct
95,false,17,true,0,true,44377.6,44377.6,57180,57180,100,40,0,16883,16883,0.00
95,true,17,true,0,true,84880,84880,84880,84880,100,42,1,15279,15281,0.01
95,false,18,true,0,true,43803.2,43803.2,57280,57280,100,53,0,15910,15910,0.00
95,true,18,true,0,true,84880,84880,84880,84880,100,53,1,15280,15282,0.01
95,false,19,true,0,true,45209.6,45209.6,57080,57080,100,35,0,15927,15927,0.00
95,true,19,true,0,true,84880,84880,84880,84880,100,38,1,15406,15407,0.01
95,false,20,true,0,true,44496.8,44496.8,56373.6,56373.6,100,53,0,15918,15918,0.00
95,true,20,true,0,true,84880,84880,84880,84880,100,55,1,15308,15309,0.01
95,false,21,true,0,true,44403.2,44403.2,56980,56980,100,49,0,15952,15952,0.00
95,true,21,true,0,true,84880,84880,84880,84880,100,51,1,15246,15248,0.01
95,false,22,true,0,true,45284,45284,57580,57580,100,44,0,15934,15934,0.00
95,true,22,true,0,true,84880,84880,84880,84880,100,46,1,16446,16447,0.01
95,false,23,true,0,true,44716,44716,58180,58180,100,43,0,16955,16955,0.00
95,true,23,true,0,true,84880,84880,84880,84880,100,46,1,15770,15772,0.01
95,false,24,true,0,true,43816,43816,57167.2,57167.2,100,52,0,17585,17585,0.00
95,true,24,true,0,true,84880,84880,84880,84880,100,54,1,15584,15585,0.01
95,false,25,true,0,true,43716,43716,57380,57380,100,46,0,16108,16108,0.00
95,true,25,true,0,true,84880,84880,84880,84880,100,47,1,15370,15371,0.01
95,false,26,true,0,true,44871.2,44871.2,57380,57380,100,44,0,15908,15908,0.00
95,true,26,true,0,true,84880,84880,84880,84880,100,44,1,15289,15290,0.01
95,false,27,true,0,true,44303.2,44303.2,56380,56380,100,57,0,15943,15943,0.00
95,true,27,true,0,true,84880,84880,84880,84880,100,58,1,15589,15591,0.01
95,false,28,true,0,true,44296.8,44296.8,56980,56980,100,52,0,17122,17122,0.00
95,true,28,true,0,true,84880,84880,84880,84880,100,53,1,16251,16253,0.01
95,false,29,true,0,true,44196.8,44196.8,57880,57880,100,48,0,17652,17652,0.00
95,true,29,true,0,true,84880,84880,84880,84880,100,50,1,15778,15780,0.01
95,false,30,true,0,true,44635.2,44635.2,56980,56980,100,50,0,16124,16124,0.00
95,true,30,true,0,true,84880,84880,84880,84880,100,51,1,16386,16387,0.01
98,false,1,false,93,true,-1256908.8,45942.4,53836,53836,100,0,0,17225,17225,0.00
98,true,1,true,0,true,87942.4,87942.4,87942.4,87942.4,100,3,1,17685,17687,0.01
98,false,2,false,100,true,-856440.8,44242.4,51942.4,51942.4,100,0,0,18430,18430,0.00
98,true,2,true,0,true,87942.4,87942.4,87942.4,87942.4,100,3,1,16963,16965,0.01
98,false,3,false,106,true,-1158040.8,45742.4,52042.4,52042.4,100,0,0,16855,16855,0.00
98,true,3,true,0,true,87942.4,87942.4,87942.4,87942.4,100,3,1,16239,16240,0.01
98,false,4,false,220,true,-1155547.2,50342.4,52042.4,52042.4,100,0,0,16912,16912,0.00
98,true,4,true,0,true,87942.4,87942.4,87942.4,87942.4,100,3,1,16475,16476,0.01
98,false,5,false,89,true,-1157466.4,46236,53042.4,53042.4,100,0,0,16989,16989,0.00
98,true,5,true,0,true,87942.4,87942.4,87942.4,87942.4,100,3,1,17260,17262,0.01
98,false,6,false,89,true,-1259234.4,44142.4,51942.4,51942.4,100,0,0,18246,18246,0.00
98,true,6,true,0,true,87942.4,87942.4,87942.4,87942.4,100,3,1,17516,17518,0.01
98,false,7,false,165,true,-756708.8,49042.4,54042.4,54042.4,100,0,0,17267,17267,0.00
98,true,7,true,0,true,87942.4,87942.4,87942.4,87942.4,100,3,1,16090,16092,0.01
98,false,8,false,94,true,-1154634.4,48242.4,54742.4,54742.4,100,0,0,16901,16901,0.00
98,true,8,true,0,true,87942.4,87942.4,87942.4,87942.4,100,3,1,17289,17291,0.01
98,false,9,false,117,true,-1160534.4,44642.4,50742.4,50742.4,100,0,0,18256,18256,0.00
