generation,parent_fitness,parent_hc_cov,parent_hc_skills,parent_hc_1shift,parent_hc_forb,parent_soft_pen,objective_delta,survived_generation,became_champion
3,15280,14000,8000,34000,24000,4720,0,false,false
3,15250,14000,8000,34000,24000,4750,-1980,false,false
3,16620,9000,6000,40000,23000,5380,-1000,false,false
3,17625,9000,6000,40000,22000,5375,0,true,false
3,17115,13000,8000,33000,24000,4885,0,true,false
3,14590,9000,6000,41000,24000,5410,-3015,false,false
4,15775,10000,6000,40000,23000,5225,-980,false,false
4,18155,14000,8000,33000,22000,4845,0,true,false
4,15735,9000,6000,40000,24000,5265,1030,false,false
4,18620,9000,6000,38000,23000,5380,-1000,true,false
4,15645,9000,6000,40000,24000,5355,-835,false,false
4,13740,8000,7000,41000,25000,5260,0,false,false
4,18650,10000,6000,38000,22000,5350,1000,true,false
4,18650,9000,6000,39000,22000,5350,-1005,true,false
4,16855,9000,6000,40000,23000,5145,35,false,false
4,18155,14000,8000,33000,22000,4845,-970,true,false
4,17620,9000,6000,39000,23000,5380,15,true,false
4,16855,9000,6000,40000,23000,5145,0,false,false
4,16620,9000,6000,40000,23000,5380,-15,false,false
4,17620,9000,6000,39000,23000,5380,-1065,false,false
4,18610,8000,6000,39000,23000,5390,895,true,false
4,16655,9000,6000,41000,22000,5345,-1885,false,false
4,15820,9000,6000,41000,23000,5180,0,false,false
4,18190,14000,8000,32000,23000,4810,0,true,false
4,16715,9000,6000,40000,23000,5285,0,false,false
4,16620,9000,6000,40000,23000,5380,0,false,false
4,16710,9000,6000,40000,23000,5290,0,false,false
4,17765,9000,6000,39000,23000,5235,-1000,false,false
4,17225,14000,7000,33000,24000,4775,915,true,false
4,16855,9000,6000,40000,23000,5145,0,false,false
4,18650,9000,6000,39000,22000,5350,0,true,false
4,18650,9000,6000,39000,22000,5350,0,true,false
4,16710,9000,6000,40000,23000,5290,0,false,false
4,17115,13000,8000,33000,24000,4885,-3095,false,false
4,17515,9000,6000,40000,22000,5485,0,true,false
4,17620,9000,6000,39000,23000,5380,30,true,false
4,18155,14000,8000,33000,22000,4845,3000,true,true
4,18620,9000,6000,38000,23000,5380,895,true,false
4,17525,9000,6000,39000,23000,5475,0,true,false
4,18085,13000,8000,34000,22000,4915,0,true,false
4,18650,9000,6000,39000,22000,5350,60,true,false
4,15735,9000,6000,40000,24000,5265,-30,false,false
