ticker,date,entry_price,b_realized,b_mfe,b_mae,b_duration,b_round_trip,b_exit_ts,b_exit_reason,m_realized,m_mfe,m_mae,m_duration,m_round_trip,m_exit_ts,m_exit_reason,triggered,trigger_bar,trigger_ts,trigger_return,imv,profit_capture
INFY_NS,20260909,1035.0,-0.0022222693991545894,0.02231881699124396,-0.002608648475241546,300,1,1788943500,H300,0.0004999999999999298,0.02231881699124396,0.00019318953804347826,2,0,1788925560,E4-PP-050,1,0.0,1788925500.0,0.02231881699124396,0.002722269399154519,0.022402621079606864
ITC_NS,20260909,260.799988,0.007477040221336265,0.01418716322947076,-0.0005751307914769146,300,0,1788943500,H300,0.0004999999999998408,0.01418716322947076,0.0001917872155563143,118,0,1788932520,E4-PP-050,1,0.0,1788925500.0,0.01418716322947076,-0.006977040221336424,0.035243127319575705
LICI_NS,20260909,407.5,-0.002208588957055159,0.008466287624616564,-0.00233131829946319,61,1,1788929100,STOP,0.000499999999999894,0.008466287624616564,0.000245413750958589,47,0,1788928260,E4-PP-050,1,0.0,1788925500.0,0.008466287624616564,0.002708588957055053,0.05905776205217678
LUPIN_NS,20260909,2100.0,0.001952427455357143,0.009428594680059525,-0.00399995349702381,300,0,1788943500,H300,0.0004999999999998701,0.009428594680059525,-0.002476167224702381,46,0,1788928200,E4-PP-050,1,0.0,1788925500.0,0.006904761904761905,-0.0014524274553572728,0.07241379310342946
MUTHOOTFIN_NS,20260909,2815.0,-0.002099467140319664,0.014458241979351687,-0.002486678507992895,46,1,1788928200,STOP,0.0004999999999999289,0.014458241979351687,-0.0003907984569271758,36,0,1788927600,E4-PP-050,1,0.0,1788925500.0,0.014458241979351687,0.002599467140319593,0.03458235107103589
NESTLEIND_NS,20260909,1393.0,0.0022253952519292893,0.008901668638953697,-0.0025843327967964825,300,0,1788943500,H300,0.00028716756214106244,0.008901668638953697,-0.00043070752759332375,30,0,1788927240,E4-PP-050,1,0.0,1788925500.0,0.008614501076812634,-0.0019382276897882268,0.033335367838541664
ONGC_NS,20260909,234.020004,0.008759949103405494,0.02234849974620118,0.006025077564656609,300,0,1788943500,H300,0.008759949103405494,0.02234849974620118,0.006025077564656609,300,0,1788943500,H300,1,0.0,1788925500.0,0.02085287502381367,0.0,0.4200835181432663
PAGEIND_NS,20260909,35395.0,-0.004743042802655669,0.01214860856053115,-0.004802938268116966,162,1,1788936540,STOP,0.000499999999999852,0.01214860856053115,0.0004237886707162029,134,0,1788934860,E4-PP-050,1,0.0,1788925500.0,0.010594716767905072,0.005243042802655521,0.04719333333331936
PIDILITIND_NS,20260909,1572.0,-0.0005725190839695235,0.00801525164499841,-0.0005725346145435751,3,1,1788925620,STOP,0.0004999999999998923,0.00801525164499841,-0.0005725346145435751,3,0,1788925620,E4-PP-050,1,0.0,1788925500.0,0.00801525164499841,0.0010725190839694157,0.06238107325200412
RECLTD_NS,20260909,314.5,0.004610531659876789,0.008902981853636725,0.0012718406883445946,300,0,1788943500,H300,0.004610531659876789,0.008902981853636725,0.0012718406883445946,300,0,1788943500,H300,1,0.0,1788925500.0,0.008267110027076708,0.0,0.557695693510335
