ID,Path,Type,Category,Owner,Lifecycle,Confidence,Evidence
ART-0173,.venv_test/lib/python3.14/site-packages/pygments/lexers/_sourcemod_builtins.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0174,.venv_test/lib/python3.14/site-packages/pygments/lexers/web.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0175,.venv_test/lib/python3.14/site-packages/pygments/lexers/ldap.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0176,.venv_test/lib/python3.14/site-packages/pygments/lexers/verification.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0177,.venv_test/lib/python3.14/site-packages/pygments/lexers/erlang.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0178,.venv_test/lib/python3.14/site-packages/pygments/lexers/_sql_builtins.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0179,.venv_test/lib/python3.14/site-packages/pygments/lexers/apdlexer.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0180,.venv_test/lib/python3.14/site-packages/pygments/lexers/slash.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0181,.venv_test/lib/python3.14/site-packages/pygments/lexers/boa.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0182,.venv_test/lib/python3.14/site-packages/pygments/lexers/elpi.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0183,.venv_test/lib/python3.14/site-packages/pygments/lexers/maxima.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0184,.venv_test/lib/python3.14/site-packages/pygments/lexers/chapel.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0185,.venv_test/lib/python3.14/site-packages/pygments/lexers/configs.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0186,.venv_test/lib/python3.14/site-packages/pygments/lexers/clean.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0187,.venv_test/lib/python3.14/site-packages/pygments/lexers/mojo.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0188,.venv_test/lib/python3.14/site-packages/pygments/lexers/jslt.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0189,.venv_test/lib/python3.14/site-packages/pygments/lexers/ul4.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0190,.venv_test/lib/python3.14/site-packages/pygments/lexers/numbair.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0191,.venv_test/lib/python3.14/site-packages/pygments/lexers/qvt.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0192,.venv_test/lib/python3.14/site-packages/pygments/lexers/tablegen.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0193,.venv_test/lib/python3.14/site-packages/pygments/lexers/inferno.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0194,.venv_test/lib/python3.14/site-packages/pygments/lexers/tlb.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0195,.venv_test/lib/python3.14/site-packages/pygments/lexers/nix.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0196,.venv_test/lib/python3.14/site-packages/pygments/lexers/wren.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0197,.venv_test/lib/python3.14/site-packages/pygments/lexers/parasail.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0198,.venv_test/lib/python3.14/site-packages/pygments/lexers/smithy.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0199,.venv_test/lib/python3.14/site-packages/pygments/lexers/_css_builtins.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0200,.venv_test/lib/python3.14/site-packages/pygments/lexers/graphviz.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0201,.venv_test/lib/python3.14/site-packages/pygments/lexers/r.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0202,.venv_test/lib/python3.14/site-packages/pygments/lexers/pawn.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0203,.venv_test/lib/python3.14/site-packages/pygments/lexers/dns.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0204,.venv_test/lib/python3.14/site-packages/pygments/lexers/maple.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0205,.venv_test/lib/python3.14/site-packages/pygments/lexers/idl.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0206,.venv_test/lib/python3.14/site-packages/pygments/lexers/iolang.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0207,.venv_test/lib/python3.14/site-packages/pygments/lexers/amdgpu.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0208,.venv_test/lib/python3.14/site-packages/pygments/lexers/dsls.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0209,.venv_test/lib/python3.14/site-packages/pygments/lexers/supercollider.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0210,.venv_test/lib/python3.14/site-packages/pygments/lexers/comal.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0211,.venv_test/lib/python3.14/site-packages/pygments/lexers/solidity.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0212,.venv_test/lib/python3.14/site-packages/pygments/lexers/_scilab_builtins.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0213,.venv_test/lib/python3.14/site-packages/pygments/lexers/_lilypond_builtins.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0214,.venv_test/lib/python3.14/site-packages/pygments/lexers/hare.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0215,.venv_test/lib/python3.14/site-packages/pygments/lexers/lisp.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0216,.venv_test/lib/python3.14/site-packages/pygments/lexers/j.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0217,.venv_test/lib/python3.14/site-packages/pygments/lexers/blueprint.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0218,.venv_test/lib/python3.14/site-packages/pygments/lexers/mosel.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0219,.venv_test/lib/python3.14/site-packages/pygments/lexers/_googlesql_builtins.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
