ticker,direction,date,entry_price,ret_h60,ret_h120,ret_h300,mae_h60,mae_h120,mae_h180,mae_h300,mfe_h60,mfe_h120,mfe_h300,recovered_to_positive,time_to_recovery_bars,n_bars
BHARTIARTL_NS,LONG,20260904,1840.000000,0.014185,0.012337,0.011576,0.000000,0.000000,0.000000,0.000000,0.016250,0.016250,0.016250,True,1,361
BHARTIARTL_NS,LONG,20260907,1854.000000,-0.001726,-0.000755,-0.004854,-0.006203,-0.006203,-0.006203,-0.006203,0.000000,0.000000,0.000000,False,None,360
BHARTIARTL_NS,LONG,20260908,1832.199951,0.003166,0.003275,-0.000382,0.000000,0.000000,0.000000,-0.000546,0.006440,0.006440,0.006440,False,1,361
BHARTIARTL_NS,LONG,20260909,1814.699951,0.004794,0.005235,0.004739,-0.000882,-0.000882,-0.000882,-0.000882,0.010966,0.010966,0.010966,True,1,361
BOSCHLTD_NS,SHORT,20260904,46820.000000,-0.001175,0.000961,0.000961,-0.003204,-0.003204,-0.003204,-0.003204,0.000427,0.001495,0.003417,True,14,345
BOSCHLTD_NS,SHORT,20260907,48025.000000,0.020927,0.020198,0.019677,0.000000,0.000000,0.000000,0.000000,0.030921,0.030921,0.030921,True,1,360
BOSCHLTD_NS,SHORT,20260908,48470.000000,0.001341,0.001651,-0.002269,-0.000103,-0.000103,-0.000103,-0.002269,0.005570,0.005570,0.005570,False,1,360
BOSCHLTD_NS,SHORT,20260909,49100.000000,0.013747,0.012220,0.011303,0.000000,0.000000,0.000000,0.000000,0.014562,0.014562,0.014562,True,1,352
BPCL_NS,LONG,20260904,315.700012,0.009819,0.010453,0.013937,0.000000,0.000000,0.000000,0.000000,0.014412,0.014412,0.015363,True,1,361
BPCL_NS,LONG,20260907,312.899994,0.004794,0.006392,0.001918,0.000000,0.000000,0.000000,0.000000,0.011825,0.011825,0.011825,True,1,361
BPCL_NS,SHORT,20260908,309.250000,-0.013258,-0.010994,-0.001132,-0.016168,-0.016168,-0.016168,-0.016168,0.000000,0.000000,0.001293,False,40,361
BPCL_NS,SHORT,20260909,303.549988,0.004118,-0.002636,0.000824,0.000000,-0.003294,-0.003294,-0.003294,0.015483,0.015483,0.015483,True,1,361
